,,SMAAS,,,,,DEPTA,,,,,,DEPTA-L,,,,,BUW-L,,,
Full URL,URL,Actual,Total,Relevant,Recall,Precision,Total,Relevant,Recall,Precision,,Actual,Total,Relevant,Recall,Precision,,Total,Relevant,Recall,Precision
http://9to5mac.com/2015/03/08/apple-campus-2-drone-flyover/,http://9to5mac.com/2…,20,13,13,65.0%,100.0%,10,8,40.0%,80.0%,,20,,,0.0%,0.0%,,6,6,30.0%,100.0%
http://bbs.boingboing.net/t/act-now-congress-wants-to-fast-track-the-trans-pacific-partnership/52776,http://bbs.boingboin…,18,18,18,100.0%,100.0%,6,6,33.3%,100.0%,,18,5,2,11.1%,40.0%,,0,0,0.0%,0.0%
http://clubtroppo.com.au/2015/02/12/stem-part-culture-war-part-cargo-cult-my-latest-fin-column/,http://clubtroppo.co…,30,30,30,100.0%,100.0%,25,10,33.3%,40.0%,,30,,,0.0%,0.0%,,19,11,36.7%,57.9%
http://games.on.net/2015/03/league-of-legends-ai-toxic-players/,http://games.on.net/…,13,13,13,100.0%,100.0%,13,13,100.0%,100.0%,,13,13,13,100.0%,100.0%,,13,13,100.0%,100.0%
http://homeservershow.com/hp-proliant-n40l-microserver-build-and-bios-modification-revisited.html,http://homeserversho…,60,55,55,91.7%,100.0%,21,21,35.0%,100.0%,,60,,,0.0%,0.0%,,44,34,56.7%,77.3%
http://larvatusprodeo.net/archives/2011/01/brisbane-flood-maps-and-up-to-date-flood-information/,http://larvatusprode…,220,240,220,100.0%,91.7%,27,27,12.3%,100.0%,,220,,,0.0%,0.0%,,220,220,100.0%,100.0%
http://news.nationalgeographic.com/news/2015/03/150302-black-hole-blast-biggest-science-galaxies-space/,http://news.national…,50,51,50,100.0%,98.0%,15,13,26.0%,86.7%,,50,,,0.0%,0.0%,,0,0,0.0%,0.0%
http://newsfeed.gawker.com/terror-owl-gleefully-tearing-apart-its-victims-in-the-1688525383/+jparham,http://newsfeed.gawk…,42,82,42,100.0%,51.2%,0,0,0.0%,0.0%,,20,,,0.0%,0.0%,,0,0,0.0%,0.0%
http://packetlife.net/blog/2014/nov/18/mac-address-aggregation-and-translation/,http://packetlife.ne…,18,12,12,66.7%,100.0%,10,6,33.3%,60.0%,,18,10,6,33.3%,60.0%,,0,0,0.0%,0.0%
http://pivotallabs.com/rspec-elasticsearchruby-elasticsearchmodel/,http://pivotallabs.c…,5,5,5,100.0%,100.0%,16,4,80.0%,25.0%,,5,16,4,80.0%,25.0%,,5,5,100.0%,100.0%
http://submicron.deviantart.com/art/Soulsequencer-Series-Hemocyte-Green-481438108?q=gallery%3Asubmicron%2F23534542&qo=8,http://submicron.dev…,8,8,8,100.0%,100.0%,4,4,50.0%,100.0%,,8,4,4,50.0%,100.0%,,0,0,0.0%,0.0%
http://techcrunch.com/2014/05/15/soldsie-the-service-that-lets-you-shop-via-facebook-and-instagram-comments-raises-4-million/,http://techcrunch.co…,18,10,10,55.6%,100.0%,0,0,0.0%,0.0%,,18,,,0.0%,0.0%,,0,0,0.0%,0.0%
http://theconversation.com/we-are-all-suspects-now-thanks-to-australias-data-retention-plans-38223,http://theconversati…,115,115,115,100.0%,100.0%,52,46,40.0%,88.5%,,115,,,0.0%,0.0%,,111,111,96.5%,100.0%
http://the-toast.net/2015/02/10/gal-science-ant-lab/,http://the-toast.net…,41,26,26,63.4%,100.0%,0,0,0.0%,0.0%,,27,,,0.0%,0.0%,,5,5,18.5%,100.0%
http://www.adelaidenow.com.au/news/south-australia/sa-public-servant-paid-out-to-quit-at-age-of-76/story-fni6uo1m-1227255760836,http://www.adelaiden…,101,57,52,51.5%,91.2%,0,0,0.0%,0.0%,,50,,,0.0%,0.0%,,0,0,0.0%,0.0%
http://www.amazon.com/dp/B00I15SB16,http://www.amazon.co…,3,3,3,100.0%,100.0%,3,3,100.0%,100.0%,,3,3,3,100.0%,100.0%,,3,3,100.0%,100.0%
http://www.autocar.co.uk/car-news/detroit-motor-show/next-mercedes-benz-glk-spotted-ahead-2015-launch,http://www.autocar.c…,7,7,7,100.0%,100.0%,6,6,85.7%,100.0%,,7,6,6,85.7%,100.0%,,7,6,85.7%,85.7%
http://www.canonrumors.com/forum/index.php?topic=25434.0,http://www.canonrumo…,15,24,15,100.0%,62.5%,5,5,33.3%,100.0%,,15,5,5,33.3%,100.0%,,26,14,93.3%,53.8%
http://www.couriermail.com.au/news/mh370-disappearance-towelette-that-washed-up-on-wa-beach-being-tested-for-connection-to-missing-malaysia-airlines-plane/story-fnii5s41-1227256204320,http://www.courierma…,45,45,45,100.0%,100.0%,0,0,0.0%,0.0%,,45,,,0.0%,0.0%,,0,0,0.0%,0.0%
http://www.cracked.com/article_22116_6-popular-games-that-were-meant-to-be-totally-different.html?wa_user1=2&wa_user2=Weird+World&wa_user3=article&wa_user4=feature_module,http://www.cracked.c…,592,543,543,91.7%,100.0%,123,123,20.8%,100.0%,,34,,,0.0%,0.0%,,0,0,0.0%,0.0%
http://www.crymore.net/2015/02/06/the-4-best-animes-youre-missing-out-on-winter-2015-edition/,http://www.crymore.n…,78,109,70,89.7%,64.2%,55,23,29.5%,41.8%,,78,,,0.0%,0.0%,,26,12,15.4%,46.2%
http://www.dailytelegraph.com.au/news/national/toxic-tuna-daily-telegraph-investigation-reveals-the-smelly-and-messy-conditions-at-thai-tuna-factories-linked-to-poisoned-fish/story-fnpn0zn5-1227255781943,http://www.dailytele…,72,54,54,75.0%,100.0%,0,0,0.0%,0.0%,,50,,,0.0%,0.0%,,0,0,0.0%,0.0%
http://www.destructoid.com/police-officer-killed-during-gamestop-robbery-288794.phtml,http://www.destructo…,219,220,219,100.0%,99.5%,72,72,32.9%,100.0%,,50,,,0.0%,0.0%,,0,0,0.0%,0.0%
http://www.dpreview.com/reviews/sony-alpha-7-s?utm_campaign=internal-link&utm_source=features-default&utm_medium=homepage-block&ref=features-default,http://www.dpreview.…,193,205,193,100.0%,94.1%,72,72,37.3%,100.0%,,176,,,0.0%,0.0%,,0,0,0.0%,0.0%
http://www.engadget.com/2015/03/09/apple-macbook/,http://www.engadget.…,4,4,4,100.0%,100.0%,0,0,0.0%,0.0%,,4,,,0.0%,0.0%,,0,0,0.0%,0.0%
http://www.escapistmagazine.com/articles/view/video-games/columns/extra-punctuation/13550-When-Remastering-Classic-Games-Stay-True-to-the-Originals,http://www.escapistm…,5,10,5,100.0%,50.0%,0,0,0.0%,0.0%,,5,,,0.0%,0.0%,,0,0,0.0%,0.0%
http://www.gamespot.com/videos/sid-meier-s-starships-ori-and-the-blind-forest-hot/2300-6423773/,http://www.gamespot.…,24,24,24,100.0%,100.0%,9,9,37.5%,100.0%,,24,,,0.0%,0.0%,,24,0,0.0%,0.0%
http://www.gizmodo.com.au/2014/09/kindle-voyage-this-is-what-a-200-e-reader-looks-like-its-gorgeous/,http://www.gizmodo.c…,10,10,10,100.0%,100.0%,3,3,30.0%,100.0%,,10,,,0.0%,0.0%,,9,8,80.0%,88.9%
http://www.joystiq.com/2015/02/03/there-is-no-end/,http://www.joystiq.c…,45,51,45,100.0%,88.2%,18,15,33.3%,83.3%,,-,,,,,,,,,
http://www.kotaku.com.au/2015/03/remember-this-735/,http://www.kotaku.co…,23,23,23,100.0%,100.0%,5,5,21.7%,100.0%,,23,,,0.0%,0.0%,,13,8,34.8%,61.5%
http://www.layer9.org/2014/10/session-3-paper-1-reclaiming-brain.html,http://www.layer9.or…,23,23,23,100.0%,100.0%,0,0,0.0%,0.0%,,23,,,0.0%,0.0%,,0,0,0.0%,0.0%
http://www.macrumors.com/2015/03/06/hands-on-with-the-textblade-keyboard/,http://www.macrumors…,10,10,10,100.0%,100.0%,0,0,0.0%,0.0%,,10,,,0.0%,0.0%,,10,10,100.0%,100.0%
http://www.macworld.com/article/2894575/apples-radical-12-inch-macbook-air-is-the-slimmest-lightest-mac-ever.html,http://www.macworld.…,36,44,36,100.0%,81.8%,8,8,22.2%,100.0%,,36,,,0.0%,0.0%,,0,0,0.0%,0.0%
http://www.mortgagebusiness.com.au/breaking-news/8218-frydenberg-concerned-about-smsf-lending?utm_source=Mortgage+Business&utm_campaign=Mortgage_Business_Newsletter02_03_2015&utm_medium=email,http://www.mortgageb…,2,4,2,100.0%,50.0%,0,0,0.0%,0.0%,,2,,,0.0%,0.0%,,0,0,0.0%,0.0%
http://www.neatorama.com/2015/02/27/The-Girl-Who-Gets-Gifts-from-Crows/,http://www.neatorama…,7,7,7,100.0%,100.0%,10,5,71.4%,50.0%,,7,10,5,71.4%,50.0%,,5,5,71.4%,100.0%
http://www.pcworld.com/article/2893647/gnome-2-is-back-ubuntu-mate-is-now-an-official-flavor.html,http://www.pcworld.c…,12,20,12,100.0%,60.0%,4,4,33.3%,100.0%,,12,,,0.0%,0.0%,,9,7,58.3%,77.8%
http://www.rockettheme.com/forum/general-discussion/147147-page-with-modules-only-no-mainbody-apart-from-home-page,http://www.rocketthe…,10,20,10,100.0%,50.0%,5,5,50.0%,100.0%,,10,5,5,50.0%,100.0%,,10,10,100.0%,100.0%
http://www.rockpapershotgun.com/2015/02/26/rimworld-alpha-review/,http://www.rockpaper…,64,64,64,100.0%,100.0%,16,16,25.0%,100.0%,,64,16,16,25.0%,100.0%,,43,18,28.1%,41.9%
http://www.smh.com.au/federal-politics/political-opinion/inequality-at-the-heart-of-rejection-of-gonski-program-20131130-2yi54.html,http://www.smh.com.a…,47,47,47,100.0%,100.0%,25,25,53.2%,100.0%,,10,2,2,20.0%,100.0%,,9,9,90.0%,100.0%
http://www.theage.com.au/federal-politics/political-news/asylum-seeker-torture-report-united-nations-special-rapporteur-juan-mendez-responds-to-tony-abbott-criticism-20150310-13zrwz.html,http://www.theage.co…,545,545,545,100.0%,100.0%,138,138,25.3%,100.0%,,10,3,3,30.0%,100.0%,,9,9,90.0%,100.0%
http://www.tripadvisor.com.au/Restaurant_Review-g1076168-d3418528-Reviews-Blend_Cafe_and_Pizza_Bar-Melville_Greater_Perth_Western_Australia.html,http://www.tripadvis…,20,20,20,100.0%,100.0%,0,0,0.0%,0.0%,,10,,,0.0%,0.0%,,10,10,100.0%,100.0%
http://www.urbanspoon.com/r/338/1430837/restaurant/Perth/Blend-Cafe-and-Pizza-Bar-Melville,http://www.urbanspoo…,26,22,22,84.6%,100.0%,6,6,23.1%,100.0%,,26,6,6,23.1%,100.0%,,0,0,0.0%,0.0%
http://www.windowscentral.com/gdc-2015-quick-look-siegecraft-commander-coming-xbox-one-summer,http://www.windowsce…,27,64,27,100.0%,42.2%,8,8,29.6%,100.0%,,27,8,8,29.6%,100.0%,,18,9,33.3%,50.0%
https://gigaom.com/2015/03/08/how-i-manage-my-creative-process-on-an-11-inch-macbook-air/,https://gigaom.com/2…,9,17,9,100.0%,52.9%,2,2,22.2%,100.0%,,9,,,0.0%,0.0%,,0,0,0.0%,0.0%
https://productforums.google.com/forum/#!category-topic/hangouts/Xfh-RfpGBP4%5B1-25%5D,https://productforum…,21,42,21,100.0%,50.0%,3,3,14.3%,100.0%,,21,,,0.0%,0.0%,,0,0,0.0%,0.0%
https://vimeo.com/98201214,https://vimeo.com/98…,17,17,17,100.0%,100.0%,3,3,17.6%,100.0%,,17,,,0.0%,0.0%,,0,0,0.0%,0.0%
https://www.indiegogo.com/projects/rocketbook-cloud-integrated-microwavable-notebook#comments,https://www.indiegog…,5,5,5,100.0%,100.0%,12,5,100.0%,41.7%,,5,,,0.0%,0.0%,,0,0,0.0%,0.0%
https://www.kickstarter.com/projects/1853707494/pancakebot-the-worlds-first-pancake-printer/comments,https://www.kickstar…,50,45,45,90.0%,100.0%,25,25,50.0%,100.0%,,50,25,25,50.0%,100.0%,,50,50,100.0%,100.0%
https://www.ozbargain.com.au/node/185655,https://www.ozbargai…,44,44,44,100.0%,100.0%,12,11,25.0%,91.7%,,44,12,11,25.0%,91.7%,,0,0,0.0%,0.0%
http://www.theguardian.com/australia-news/2015/mar/15/crossbenchers-rebuff-pyne-ultimatum-on-university-reforms-and-research,http://www.theguardi…,86,107,86,100.0%,80.4%,6,6,7.0%,100.0%,,86,,,0.0%,0.0%,,0,0,0.0%,0.0%
,,,,,,,,,,,,,,,,,,,,,
Totals,,,SMAAS,,,,DEPTA,,,,,,DEPTA-L,,,,,BUW-L,,,
